kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
"kokoni, tekokoni","kaget, terkejut",o hada nggiro'o -,kera itu kaget
"olema, nomokolema",kepayahan,nggu mondene iwoi,saya kepayahan mengangkat air
olembe,pantat,- no ana dalo niino mokokato,pantat anak itu gatal
koli-koli,"bakul-bakul, bakul kecil",i ina mo'oli - ihawi,ibu membeli bakul-bakul kemarin
"kulimuto, pekolimutoako",diselimutkan,ano -,supaya diselimutkannya
"kolo, kumolo'i",menggendong,amanggu - haino,bapakku menggendong adiknya
kumolo-kolo,menggendong-gendong,ie - anano,dia menggendong-gendong anaknya
kolo'aro,persanggamaan,i keni - i tie. ronga i bio,di sini persanggaman antara Tie dengan Bio
kolupei,lupa,iamo au -,jangan kau lupa
kombatea,pingsan,sanotekiirii kaina-inano lau-launo -,"begitu dia lihat ibu angkatnya, dia terus pingsan"
mbenggambatea,menjadi pingsan,sarombendepokonooro mataro ikirokaa o atahako aro - ketika mereka bertatap mata,para budak mereka terus pingsan
kombo,"usus, - no, usunya, measo nggombo bersaudara ka dung",kioki notewali noinggito tidak bisa karena kita bersauda kandung,
"komo, komoo-moo'ito tersenyur",senyum,no - laa onggo leu sar puno,dia sedang tersenyum-s nyum (karena) akan datang t nangannya
konawe,nama tempat,i - laa mok ke,di Konawe ada raja
konawe'eha,nama sungai,- mend ano molua,sungai Konawe'el panjang dan luas
"ono, tekono",benar,- ito hawo laa tineeni akomu,sudah benar apa yang engkau katakan
ono,mali bius,ana dalo nggiro'o no -,anak itu kena bius
onodale,beruntung,iee - sawatuu no tej osuanggee sabeano i Jakar- ' ta,ia sangat beruntung setelah bertemu dengan sahabatnya di Jakarta |
opi,kopi,ku laa mowaikehero o -,saya sedang membuatkan mereka kopi
mokomokora,berusaha terus,-zo,berusaha teruslah
oro,tidak,bekanggu - ehe lako,kucingku tidak mau pergi
tekoro,berkembang,merare ako neino ana dalo,cepat sekali anak ini berkembang
"osi, pokosii",simpan,lakonoto umalei Saweringadi ano -,"lalu mengambil Saweringading dan disimpannya; mokosio menyimpan; - na burua, menyimpan di peti"
"osisi, mokosisi",kotor,melosi'ako ne ambariki lakonoto -,dia melompat di parit sehingga kotor
oso,kosong,okinohori menggau no - laikano,belum lama kosong rumahnya
"otu, mokotu",putus,kinaputi anotaa - poonggono,"ikat kuat-kuat, nanti putus pengikatnya"
kotua,ketua,inae i keni - desa,sia) di sini ketua desa?
kowuna,bambu,keepera lako moa -,apakah dia akan pergi men ambil bambu?
aanggowuna,lubang bambu,nok ito sarunggano laa mewiso i sudah dilihat baju samaranny yang ditempatkan di lubang bar bu,
kowuru-wuru,bisik,no kowuru-w runggee ana dalo nggiro'o lakor tumenai,"ia bisik anak itu, la disuruhnya"
pakowuru-wuru,pembisik,- ie tono nggowuru-wuru,"pembisik i lah orang yang membisik; tulura-mbenao bisikan, - ihi bisikan hati nurani"
kowuru-wurukee,membisikkan,au kowuru-wurunggeeki i ina t kono ine pasipole,engkau har membisikkan masalah itu kepa ibu
kowuru-wurui,membisiki,no p kiki bunggu kowuru-wurungg banggonano,ia pun berpalir membisiki temannya; menggowuruwuru berbisik-bisil arondee - lalu mereka berbis
mekunde-kunde,mengetuk,ano ena - ine tambo,dia pergi mengetuk pintu
"kuni, mokuni",kuning,- wuano taipamu,buah menggamu kuning
kuraremi,rumput pengait,kehai nggare i kiro mune,singkirkan rumput pengait kaki di sana
kuri,kata,i no wono - sangia i puti tahi,"katanya, ""Dia dewa di dasar laut"""
kuri,konon,dowono - ari moipi i wingi,"konon katanya, Dia sendiri telah bermimpi tadi malam"""
"kuru, pekuri hilangkan",sisiknya,ano - ikano,dia hilangkan sisik ikannya
"kururu, mekururu'i",memanggil,Bio - manuno,Bio memanggil ayamnya
anopekururui,dia memanggil,i Batulu ina'u ingapa - ikambahe wulaano,Batulu pergi ke pelabuhan lalu dia memanggil ikan mas peliharaannya
kusi,seu peniti,no pombeturaako ine kobayano,ia menyematkan peniti pada kebayanya
kutu,kutu,dadio - no i bio,Bio banyak kutunya
aa,sedang,i nama - moko suped no,paman sedang memperbail sepedanya
laando,ada,o hapo ikitu au - mc rowirowi,mengapa engkau ada c pat-cepat di situ
anolaa,sehingga ada,ie'ito - toc no pesoo,itulah sehingga ada « rang jahat
anolaa,dan ada,- mokole le mondawungako te 'asondawung koa,dan ada raja datang mengun pulkan satu kelompok
anolaa,"supaya ada, sampai ad",-.anaro o tuo,sampai ada merek dua
anolaa,kalau ada,- honde ni'in mendaa nolumele,kalau ada s
molabu,membuat tepung,ne no j hu lahano toono - di lesung tem | patnya orang menumbuk tepung,
